"Pais","Region","Superficie_km2","Poblacion_Miles_2017","Poblacion_Denskm2_2017.","SexoProporcionMpor100F_2017.","PIB_millonesUSD","PIB_crecimientoAnual","PIB_PerCapita","Economia_PorcentajeAgricola","Economia_PorcentajeIndustria","Empleados_PorcentajeAgricola","Empleados_PorcentajeIndustria","Desempleo_PorcentajePob","IndiceProduccionAgricola","IndiceProducionAlimentaria","ComercioIntExportacion_millonesUSD","ComercioIntImportacion_millonesUSD","CrecimientoPoblacion_TasaAnual","PoblacionUrbana_Porcentaje","CrecimientoPobUrbana_TasaAnual","TasaFertilidac_NacVivosMujer","MortalidadInfantil_porMilNac","GastoSalud_PIB","medicos_porMilpoblacion","GastoEducacion_PIB","participacionLaboralFem","participacionLaboralMasc","EducPrimariaTasaFem","EducPrimariaTasaMasc","EducSecundariaTasaFem","EducSecundariaTasaMasc","EducTerciariaTasaFem","EducTerciariaTasaMasc","AccesoAguaMejorPobUrbana","AccesoAguaMejorPobRural","EsperanzaVidaFem","EsperanzaVidaMasc","PorcentPoblacionJoven","PorcentPoblacionVieja","MigracionNum","MigracionPorcentaje"
"Holy See","SouthernEurope",NA,1,1800,219.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,NA,100,NA,-99,-99,-99,-99,-99,-99,NA,-99,NA,-99,NA,-99,NA,-99,NA,-99,NA,-99,NA,0.8,100
"Honduras","CentralAmerica",112492,9265,82.8,99.4,20365,3.6,2521.9,13,25.1,29.4,21.6,5.6,122,119,3657,8448,1.8,54.7,3.1,2.6,27.8,8.7,NA,5.9,47.6,84.5,110.1,111.3,77,64.8,9.5,1.2,86.7,77.7,75.4,70.4,31.6,7,28.1,0.3
"Hungary","EasternEurope",93024,9722,107.4,90.7,121715,3.1,12350.6,4.1,31.9,4.3,29.8,4.5,99,99,103071,92044,-0.3,71.2,0.5,1.3,4.9,7.4,3.3,4.7,46.6,62.4,101.3,101.9,105.3,105.1,42.1,4.3,97.8,98.6,78.8,71.7,14.3,26,449.6,4.6
"Iceland","NorthernEurope",103000,335,3.3,100.7,16780,4.2,50936,6.4,24,4,17.7,3.6,117,117,4450,5703,0.6,94.1,1.3,2,1.6,8.9,3.8,7.8,70.3,77.2,98.6,99.7,121,116.3,2,6.1,98.7,100,83.8,80.6,20.1,20.1,37.5,11.4
"India","SouthernAsia",3287263,1339180,450.4,107.6,2116239,7.6,1614.2,17,29.7,44.3,24.5,3.4,143,142,260327,356705,1.2,32.7,2.4,2.4,41.3,4.7,0.7,3.8,27,79.1,115.1,102.8,74.5,73.5,2238.4,1.7,62.6,28.5,69.1,66.2,27.8,9.4,5241,0.4
"Indonesia","South-easternAsia",1910931,263991,145.7,101.4,861934,4.8,3346.5,14,41.3,31.4,22.4,5.8,139,140,144490,135653,1.2,53.7,2.7,2.4,25,2.8,0.2,3.6,51,83.7,104.4,107.2,86,85.7,464.2,1.8,72.3,47.5,70.7,66.6,27.4,8.6,328.8,0.1
"Iran (Islamic Republic of)","SouthernAsia",1628750,81163,49.8,101.2,398563,0.4,5038.1,8.6,39.1,16.6,32.5,11.3,106,107,45627,35333,1.2,73.4,2.1,1.7,14.8,7.5,1.5,2.9,16.3,73.2,111.7,106.3,88.9,89.4,649.5,8.3,92.8,82.3,76.2,74,23.7,8.8,2726.4,3.4
"Iraq","WesternAsia",435052,38275,88.1,102.5,164234,-2.4,4509,4.6,58,20.4,21,16.1,123,123,27341,45831,3.2,69.5,3,4.6,32.1,5.5,0.9,-99,15.3,69.9,NA,NA,NA,NA,168.4,4.8,86.4,83.8,71.4,67,40.4,5,353.9,1
"Ireland","NorthernEurope",69797,4762,69.1,98.4,283716,26.3,60513.6,1,41.7,4.8,17.7,7.6,102,102,129315,76997,0.3,63.2,1.6,2,3.4,7.8,2.8,5.3,51.9,67.1,102,100.9,129.4,125.6,34.1,7.3,89.1,92.9,83,78.7,21.6,19.1,746.3,15.9
"Isle of Man","NorthernEurope",572,84,147.9,98.2,-99,-99,-99,-99,-99,NA,NA,2.6,-99,-99,-99,-99,0.8,52.2,0.8,-99,-99,-99,-99,-99,57.5,69.3,-99,NA,-99,NA,-99,NA,-99,NA,-99,NA,16,26.9,45.2,51.5
"Israel","WesternAsia",22072,8322,384.5,98.7,299413,2.5,37129.4,1.3,21.2,1,17.9,5.9,112,112,60571,65803,1.6,92.1,1.4,3,3.4,7.8,3.6,5.8,58.5,69,105.1,104.4,103,102,64.6,8.1,100,100,83.7,80,27.9,16.1,2011.7,24.9
"Italy","SouthernEurope",302073,59360,201.8,95.1,1821580,0.7,30462.4,2.2,23.5,3.5,27.1,11.4,89,89,461529,404578,-0.1,69,0.4,1.4,3,9.2,3.9,4.1,39.2,57.8,100.6,101.4,101.7,104.1,320.4,5.4,99.5,99.6,84.7,79.9,13.5,29.4,5788.9,9.7
"Jamaica","Caribbean",10990,2890,266.9,99,14262,1,5105.8,7.1,22.3,17.9,15.3,13.1,102,102,1202,4767,0.4,54.8,0.9,2.1,15,5.4,NA,5.5,58.1,72.7,NA,NA,85.1,79.2,7.4,2.7,79.9,84.1,77.9,73.1,22.7,13.6,23.2,0.8
"Japan","EasternAsia",377930,127484,349.7,95.4,4383076,1.2,34628.7,1.2,26.4,3.7,26.5,3,96,97,644932,606924,-0.1,93.5,0.6,1.4,2.2,10.2,2.3,3.6,48.9,69.7,101.2,101.3,101.9,101.6,1214,9.6,100,100,86.4,80,12.9,33.4,2043.9,1.6
"Jordan","WesternAsia",89318,9702,109.3,102.6,37517,2.4,4940.1,4,27.7,2,17.8,13.4,134,135,7509,19207,4.9,83.7,3.8,3.6,17.1,7.5,2.6,-99,14.5,64.5,97.6,97.1,84.8,80.2,26.5,3.6,98.6,98.9,75.5,72.2,35.5,5.7,3112,41
"Kazakhstan","CentralAsia",2724902,18204,6.7,93.9,181754,1.2,10312.1,5,32.5,18.1,20.4,5.6,126,127,36775,25175,1.6,53.2,0.9,2.7,14.1,4.4,3.3,2.8,66.3,77.5,109.1,108.8,113.5,110.6,248.3,14.3,97,98.1,73.9,64.3,27.9,11.1,3546.8,20.1
"Kenya","EasternAfrica",591958,49700,87.3,98.8,63399,5.6,1376.7,32,19,61.9,8.6,10.8,126,126,5688,14109,2.7,25.6,4.3,4.1,39.4,5.7,0.2,5.3,62.4,72.4,108.7,109.3,NA,NA,14.3,0.3,31.2,29.7,67.8,63,40.5,4.3,1084.4,2.4
"Kiribati","Micronesia",726,116,143.7,97.3,162,3.7,1442.9,24.1,13.6,NA,NA,NA,61,61,3,116,1.8,44.3,1.8,3.8,46.9,10.2,0.2,NA,NA,NA,106.1,102.9,NA,NA,0.1,0.6,51.2,30.6,68.9,62.4,35,6.4,3.2,2.8
"Kuwait","WesternAsia",17818,4136,232.1,134.9,114054,1.8,29303.9,0.6,48.7,2.6,27.3,2.2,199,199,46238,30825,5.4,98.3,3.6,2,8.4,3,1.9,NA,47.7,83.6,103,102.4,102.7,88.2,95.4,25.4,100,100,75.5,73.5,21.1,4.9,2866.1,73.6
"Kyrgyzstan","CentralAsia",199949,6045,31.5,98.4,6572,3.5,1106.4,15.4,25.9,29.2,21,7.7,108,110,1423,3844,1.6,35.7,1.6,3.1,19.6,6.5,1.9,5.5,49.7,77.5,106.8,107.9,92.8,91.4,9.6,1.7,89.1,95.6,74.3,66.4,31.8,7.6,204.4,3.4
"Lao People's Democratic Republic","South-easternAsia",236800,6858,29.7,99.5,12585,7.6,1850.2,23.6,32.8,78.3,4,1.5,193,186,2066,4513,1.3,38.6,4.9,2.9,47.3,1.9,0.2,3.3,77.9,77.8,109.1,113.5,59.3,64.1,2,0.3,94.5,56,66.8,63.9,32.9,6.3,22.2,0.3
"Latvia","NorthernEurope",64573,1950,31.3,84.9,27004,2.7,13704.1,3.2,23.3,7.3,23,9.6,130,130,11433,13596,-1.2,67.4,-0.7,1.5,6.5,5.9,3.2,5.3,54.5,67.7,99.2,100.1,119.1,119.9,7,3.5,90.8,81.5,78.7,68.8,15.4,26.2,263.1,13.4
"Lebanon","WesternAsia",10452,6082,594.6,100.6,50149,1.5,8571.4,3.2,19.6,8.2,22.4,7,95,95,3402,20409,6,87.8,3.2,1.7,9.2,6.4,2.4,2.6,23.8,70.6,88.3,96.6,61,61.5,24.1,4.3,80.7,80.7,80.9,77.3,23.1,12,1997.8,34.1
